Sample	Tissue
GTEX.13FHP.3026.SM.5IJBS	Brain
GTEX.13FLW.1426.SM.5K7YE	Brain
GTEX.13FXS.3126.SM.5J2NN	Brain
GTEX.13IVO.2926.SM.5L3CZ	Brain
GTEX.13JUV.2926.SM.5LZX7	Brain
GTEX.13JVG.3126.SM.5L3FH	Brain
GTEX.13NYB.3026.SM.5IJD7	Brain
GTEX.13NYC.2826.SM.5K7WR	Brain
GTEX.13NYS.3126.SM.5KLYV	Brain
GTEX.13O3O.3126.SM.5KM3H	Brain
GTEX.13O3Q.2926.SM.5KM45	Brain
GTEX.13S7M.3126.SM.5RQJQ	Brain
GTEX.13SLX.3126.SM.5S2Q5	Brain
GTEX.13VXU.2926.SM.5LU5C	Brain
GTEX.13X6J.3026.SM.5Q5CU	Brain
GTEX.13X6K.2926.SM.5Q5D5	Brain
GTEX.1445S.3026.SM.5O9BR	Brain
GTEX.144FL.3026.SM.5O99C	Brain
GTEX.144GL.3026.SM.5Q5CW	Brain
GTEX.145LS.3126.SM.5Q5BY	Brain
GTEX.12ZZW.0011.R10b.SM.5HL9X	Brain
GTEX.12ZZX.0011.R10b.SM.5DUWK	Brain
GTEX.12ZZY.0011.R10b.SM.5HL7W	Brain
GTEX.1313W.0011.R10b.SM.5DUXA	Brain
GTEX.131XH.0011.R10a.SM.5EGLJ	Brain
GTEX.131XW.0011.R10a.SM.5DUVA	Brain
GTEX.131YS.0011.R10b.SM.5EQ5N	Brain
GTEX.139TS.0011.R10a.SM.5K7TU	Brain
GTEX.13CZV.0011.R10b.SM.5LZYD	Brain
GTEX.13FHO.0011.R10b.SM.5J2MM	Brain
GTEX.13FLV.0011.R10b.SM.5LZZ2	Brain
GTEX.13FLW.0011.R10b.SM.5LZZF	Brain
GTEX.13FTZ.0011.R10b.SM.5KLZS	Brain
GTEX.13FXS.0011.R10a.SM.5J2MA	Brain
GTEX.13G51.0011.R10b.SM.5LZYF	Brain
GTEX.13IVO.0011.R10a.SM.5LZY3	Brain
GTEX.13JUV.0011.R10b.SM.5LZXR	Brain
GTEX.13JVG.0011.R10b.SM.5KM2P	Brain
GTEX.13N1W.0011.R10b.SM.5MR4H	Brain
GTEX.13N2G.0011.R10a.SM.5MR34	Brain
GTEX.13NYB.0011.R10a.SM.5KM43	Brain
GTEX.13NYS.0011.R10a.SM.5MR4S	Brain
GTEX.13NZA.0011.R10b.SM.5KM54	Brain
GTEX.13O3O.0011.R10a.SM.5LUA9	Brain
GTEX.13O3Q.0011.R10b.SM.5KM39	Brain
GTEX.13QJC.0011.R10a.SM.5SI63	Brain
GTEX.13RTJ.0011.R10b.SM.5O9CW	Brain
GTEX.13S7M.0011.R10b.SM.5PNZB	Brain
GTEX.13SLW.0011.R10a.SM.5S2UI	Brain
GTEX.13SLX.0011.R10a.SM.5P9HV	Brain
GTEX.13X6I.0011.R10a.SM.5PNWI	Brain
GTEX.13X6J.0011.R10b.SM.5PNWA	Brain
GTEX.13X6K.0011.R10a.SM.5P9JR	Brain
GTEX.1445S.0011.R10a.SM.5PNWB	Brain
GTEX.145LS.0011.R10a.SM.5PNUQ	Brain
GTEX.145LU.0011.R10a.SM.5PNWJ	Brain
GTEX.11ONC.0011.R1a.SM.57WD4	Brain
GTEX.12ZZX.0011.R1a.SM.5EQ6B	Brain
GTEX.1313W.0011.R1b.SM.5EQ4A	Brain
GTEX.131XH.0011.R1a.SM.5DUWA	Brain
GTEX.131YS.0011.R1a.SM.5DUXC	Brain
GTEX.139T8.0011.R1a.SM.5HL75	Brain
GTEX.139TT.0011.R1a.SM.5LZVD	Brain
GTEX.13CF2.0011.R1a.SM.5LZY1	Brain
GTEX.13FHO.0011.R1b.SM.5KLZG	Brain
GTEX.13FHP.0011.R1b.SM.5K7XL	Brain
GTEX.13FLW.0011.R1b.SM.5LZX2	Brain
GTEX.13FTY.0011.R1a.SM.5LZXE	Brain
GTEX.13FXS.0011.R1a.SM.5K7U6	Brain
GTEX.13G51.0011.R1a.SM.5LZYR	Brain
GTEX.13JUV.0011.R1a.SM.5LZY4	Brain
GTEX.13JVG.0011.R1a.SM.5KM32	Brain
GTEX.13N1W.0011.R1b.SM.5MR4T	Brain
GTEX.13N2G.0011.R1b.SM.5MR3G	Brain
GTEX.13NYB.0011.R1b.SM.5KM4F	Brain
GTEX.13NYS.0011.R1b.SM.5MR55	Brain
GTEX.13NZ8.0011.R1b.SM.5KM3V	Brain
GTEX.13NZA.0011.R1b.SM.5LUAF	Brain
GTEX.13O3O.0011.R1b.SM.5KM2K	Brain
GTEX.13O3Q.0011.R1b.SM.5KM3L	Brain
GTEX.13QJC.0011.R1b.SM.5S2UU	Brain
GTEX.13RTJ.0011.R1a.SM.5O9D9	Brain
GTEX.13RTL.0011.R1a.SM.5PNZ8	Brain
GTEX.13S7M.0011.R1b.SM.5PNZE	Brain
GTEX.13SLW.0011.R1a.SM.5S2W7	Brain
GTEX.13X6I.0011.R1b.SM.5PNZC	Brain
GTEX.144GL.0011.R1a.SM.5PNZ5	Brain
GTEX.144GO.0011.R1a.SM.5PNWO	Brain
GTEX.145LS.0011.R1b.SM.5PNUP	Brain
GTEX.145LU.0011.R1a.SM.5Q5CE	Brain
GTEX.11OF3.0011.R8b.SM.57WCS	Brain
GTEX.11ONC.0011.R8b.SM.5NQ87	Brain
GTEX.12ZZX.0011.R8a.SM.5DUW8	Brain
GTEX.1313W.0011.R8a.SM.5DUVM	Brain
GTEX.131XH.0011.R8a.SM.5EGLL	Brain
GTEX.131XW.0011.R8a.SM.5DUWY	Brain
GTEX.13CF2.0011.R8b.SM.5IJCX	Brain
GTEX.13CIG.0011.R8b.SM.5LZX5	Brain
GTEX.13FLV.0011.R8a.SM.5LZZE	Brain
GTEX.13FLW.0011.R8b.SM.5J1MZ	Brain
GTEX.13FXS.0011.R8a.SM.5J1MN	Brain
GTEX.13G51.0011.R8b.SM.5LZZ4	Brain
GTEX.13IVO.0011.R8a.SM.5L3DY	Brain
GTEX.13JVG.0011.R8a.SM.5KM3E	Brain
GTEX.13N1W.0011.R8a.SM.5MR56	Brain
GTEX.13NYB.0011.R8a.SM.5KM4R	Brain
GTEX.13NYS.0011.R8a.SM.5MR5H	Brain
GTEX.13NZ8.0011.R8b.SM.5KM48	Brain
GTEX.13NZA.0011.R8b.SM.5KM2Q	Brain
GTEX.13O3O.0011.R8b.SM.5LUAL	Brain
GTEX.13O3Q.0011.R8b.SM.5KM2J	Brain
GTEX.13OVH.0011.R8b.SM.5MR35	Brain
GTEX.13QJC.0011.R8b.SM.5S2U6	Brain
GTEX.13RTJ.0011.R8b.SM.5O9DL	Brain
GTEX.13SLW.0011.R8b.SM.5SI64	Brain
GTEX.13SLX.0011.R8b.SM.5PNWZ	Brain
GTEX.13X6I.0011.R8a.SM.5PNZF	Brain
GTEX.13X6J.0011.R8b.SM.5PNUA	Brain
GTEX.13X6K.0011.R8b.SM.5PNZ4	Brain
GTEX.1445S.0011.R8a.SM.5PNWX	Brain
GTEX.145LS.0011.R8b.SM.5PNXA	Brain
GTEX.145LU.0011.R8b.SM.5PNZG	Brain
GTEX.11OF3.0011.R6b.SM.57WBG	Brain
GTEX.12ZZW.0011.R6a.SM.5DUVZ	Brain
GTEX.12ZZX.0011.R6a.SM.5HL8L	Brain
GTEX.12ZZY.0011.R6b.SM.5EGLA	Brain
GTEX.1313W.0011.R6a.SM.5K7XO	Brain
GTEX.131XH.0011.R6a.SM.5KM2G	Brain
GTEX.131XW.0011.R6b.SM.5K7XY	Brain
GTEX.139TS.0011.R6a.SM.5J2OB	Brain
GTEX.139TT.0011.R6b.SM.5J2ON	Brain
GTEX.13FHO.0011.R6b.SM.5LZX1	Brain
GTEX.13FHP.0011.R6b.SM.5LZY6	Brain
GTEX.13FLV.0011.R6a.SM.5KLZ4	Brain
GTEX.13FLW.0011.R6b.SM.5L3EN	Brain
GTEX.13FXS.0011.R6b.SM.5L3F7	Brain
GTEX.13G51.0011.R6b.SM.5LZX4	Brain
GTEX.13IVO.0011.R6b.SM.5K7X9	Brain
GTEX.13JUV.0011.R6b.SM.5LZYG	Brain
GTEX.13JVG.0011.R6a.SM.5MR3E	Brain
GTEX.13N1W.0011.R6a.SM.5MR43	Brain
GTEX.13N2G.0011.R6b.SM.5MR3P	Brain
GTEX.13NYB.0011.R6b.SM.5MR51	Brain
GTEX.13NYS.0011.R6b.SM.5MR3R	Brain
GTEX.13O3O.0011.R6b.SM.5P9GY	Brain
GTEX.13O3Q.0011.R6a.SM.5KM2V	Brain
GTEX.13OVH.0011.R6b.SM.5LUAX	Brain
GTEX.13QJC.0011.R6a.SM.5S2VI	Brain
GTEX.13RTJ.0011.R6a.SM.5SI74	Brain
GTEX.13S7M.0011.R6b.SM.5O9D8	Brain
GTEX.13SLW.0011.R6a.SM.5O9BH	Brain
GTEX.13SLX.0011.R6a.SM.5PNX4	Brain
GTEX.13VXU.0011.R6a.SM.5SI71	Brain
GTEX.13X6J.0011.R6a.SM.5PNUB	Brain
GTEX.13X6K.0011.R6a.SM.5P9K6	Brain
GTEX.1445S.0011.R6b.SM.5PNUF	Brain
GTEX.144GL.0011.R6a.SM.5P9HW	Brain
GTEX.144GO.0011.R6b.SM.5S2V7	Brain
GTEX.145LS.0011.R6b.SM.5PNWL	Brain
GTEX.145LU.0011.R6a.SM.5S2V6	Brain
GTEX.11OF3.0011.R7a.SM.57WCG	Brain
GTEX.12ZZW.0011.R7a.SM.5DUWC	Brain
GTEX.12ZZX.0011.R7b.SM.5DUVV	Brain
GTEX.12ZZY.0011.R7a.SM.5EGLB	Brain
GTEX.1313W.0011.R7b.SM.5DUWL	Brain
GTEX.131YS.0011.R7a.SM.5IJDA	Brain
GTEX.139TS.0011.R7a.SM.5K7X7	Brain
GTEX.139TT.0011.R7b.SM.5J2MN	Brain
GTEX.13CF2.0011.R7b.SM.5K7UV	Brain
GTEX.13CZV.0011.R7b.SM.5LZXH	Brain
GTEX.13FHO.0011.R7b.SM.5LZXD	Brain
GTEX.13FHP.0011.R7b.SM.5LZYI	Brain
GTEX.13FLV.0011.R7b.SM.5K7WW	Brain
GTEX.13FLW.0011.R7b.SM.5L3EZ	Brain
GTEX.13FXS.0011.R7a.SM.5L3FC	Brain
GTEX.13G51.0011.R7b.SM.5LZXG	Brain
GTEX.13JUV.0011.R7b.SM.5LZZG	Brain
GTEX.13JVG.0011.R7b.SM.5MR3Q	Brain
GTEX.13N1W.0011.R7b.SM.5MR4F	Brain
GTEX.13N2G.0011.R7a.SM.5MR42	Brain
GTEX.13NYB.0011.R7a.SM.5MR5D	Brain
GTEX.13O3O.0011.R7b.SM.5P9GZ	Brain
GTEX.13O3Q.0011.R7a.SM.5KM38	Brain
GTEX.13QJC.0011.R7b.SM.5PNUM	Brain
GTEX.13RTJ.0011.R7b.SM.5P9JS	Brain
GTEX.13S7M.0011.R7a.SM.5O9DK	Brain
GTEX.13VXU.0011.R7b.SM.5SI72	Brain
GTEX.13X6I.0011.R7b.SM.5PNWP	Brain
GTEX.13X6J.0011.R7b.SM.5PNUC	Brain
GTEX.13X6K.0011.R7b.SM.5P9K7	Brain
GTEX.1445S.0011.R7b.SM.5PNUG	Brain
GTEX.144GL.0011.R7b.SM.5P9HX	Brain
GTEX.144GO.0011.R7b.SM.5S2TT	Brain
GTEX.145LS.0011.R7a.SM.5PNWM	Brain
GTEX.11ONC.0011.R9b.SM.5NQ8J	Brain
GTEX.131XW.0011.R9a.SM.5N9EO	Brain
GTEX.131YS.0011.R9b.SM.5EQLY	Brain
GTEX.139UW.0011.R9b.SM.5LZYT	Brain
GTEX.13CIG.0011.R9a.SM.5K7VU	Brain
GTEX.13CZV.0011.R9a.SM.5LZXT	Brain
GTEX.13FLV.0011.R9b.SM.5L3DA	Brain
GTEX.13FTY.0011.R9b.SM.5KM2U	Brain
GTEX.13FXS.0011.R9a.SM.5K7UI	Brain
GTEX.13JUV.0011.R9a.SM.5LZX3	Brain
GTEX.13N1W.0011.R9b.SM.5MR4R	Brain
GTEX.13N2G.0011.R9b.SM.5MR4E	Brain
GTEX.13NYB.0011.R9b.SM.5MR5P	Brain
GTEX.13NYS.0011.R9b.SM.5MR44	Brain
GTEX.13NZA.0011.R9b.SM.5MR5I	Brain
GTEX.13O1R.0011.R9b.SM.5KM33	Brain
GTEX.13QJC.0011.R9b.SM.5PNX3	Brain
GTEX.13RTJ.0011.R9a.SM.5Q5AY	Brain
GTEX.13S7M.0011.R9a.SM.5O9DW	Brain
GTEX.13SLW.0011.R9a.SM.5O9BT	Brain
GTEX.13SLX.0011.R9b.SM.5SI6X	Brain
GTEX.13VXU.0011.R9b.SM.5SI73	Brain
GTEX.13X6I.0011.R9b.SM.5PNZJ	Brain
GTEX.145LU.0011.R9b.SM.5SI66	Brain
GTEX.11PRG.0011.R2a.SM.69LQ5	Brain
GTEX.12ZZX.0011.R2a.SM.5EGLG	Brain
GTEX.1313W.0011.R2a.SM.5EGLF	Brain
GTEX.131XH.0011.R2b.SM.5DUVY	Brain
GTEX.139TS.0011.R2b.SM.5J1MX	Brain
GTEX.13CF2.0011.R2a.SM.5L3DC	Brain
GTEX.13FXS.0011.R2b.SM.5K7XX	Brain
GTEX.13G51.0011.R2b.SM.5LZXS	Brain
GTEX.13N2G.0011.R2a.SM.5MR4Q	Brain
GTEX.13NYB.0011.R2a.SM.5MR3C	Brain
GTEX.13NYS.0011.R2b.SM.5MR4G	Brain
GTEX.13O3O.0011.R2b.SM.5P9H1	Brain
GTEX.13O3Q.0011.R2b.SM.5KM3K	Brain
GTEX.13QJC.0011.R2b.SM.5PNUN	Brain
GTEX.13RTJ.0011.R2a.SM.5PNW9	Brain
GTEX.13SLW.0011.R2b.SM.5O9C6	Brain
GTEX.13SLX.0011.R2b.SM.5S2VP	Brain
GTEX.13X6I.0011.R2b.SM.5PNWQ	Brain
GTEX.13X6K.0011.R2b.SM.5P9K3	Brain
GTEX.1445S.0011.R2b.SM.5PNUH	Brain
GTEX.145LS.0011.R2a.SM.5PNZI	Brain
GTEX.1117F.2826.SM.5GZXL	Breast
GTEX.11NV4.2026.SM.5N9DG	Breast
GTEX.11O72.2126.SM.5N9FO	Breast
GTEX.11OF3.1926.SM.59889	Breast
GTEX.11ONC.2126.SM.5HL6E	Breast
GTEX.11P7K.0726.SM.5EGKX	Breast
GTEX.11P81.1926.SM.5BC53	Breast
GTEX.11P82.1326.SM.5HL62	Breast
GTEX.11PRG.0826.SM.5EQ6A	Breast
GTEX.11TT1.2126.SM.5GU5Y	Breast
GTEX.11TUW.1826.SM.5BC5D	Breast
GTEX.12BJ1.1826.SM.5HL9N	Breast
GTEX.12KS4.0126.SM.5Q5A5	Breast
GTEX.12WSM.1726.SM.5BC6J	Breast
GTEX.12WSN.1326.SM.5GCNT	Breast
GTEX.12ZZX.1126.SM.5EGKB	Breast
GTEX.13113.1726.SM.5GCOO	Breast
GTEX.1313W.0826.SM.5EQ4T	Breast
GTEX.1314G.1226.SM.5BC6D	Breast
GTEX.131XW.0726.SM.5EGK3	Breast
GTEX.131YS.0626.SM.5EGKL	Breast
GTEX.139T6.1626.SM.5PNYZ	Breast
GTEX.139T8.0826.SM.5L3DE	Breast
GTEX.139TU.0626.SM.5KM3X	Breast
GTEX.13CF2.2026.SM.5K7VI	Breast
GTEX.13CF3.2126.SM.5IFJP	Breast
GTEX.13D11.1026.SM.5IJFB	Breast
GTEX.13FHO.0826.SM.5L3E8	Breast
GTEX.13FTW.1426.SM.5LZWZ	Breast
GTEX.13FTX.1126.SM.5N9EN	Breast
GTEX.13FTY.2226.SM.5J1ND	Breast
GTEX.13N11.1726.SM.5J1OJ	Breast
GTEX.13N1W.0626.SM.5MR4U	Breast
GTEX.13NZ8.0126.SM.5IJCT	Breast
GTEX.13NZ9.1026.SM.5MR5K	Breast
GTEX.13NZB.2126.SM.5MR4Y	Breast
GTEX.13O3O.0826.SM.5K7WE	Breast
GTEX.13O3P.0826.SM.5L3DH	Breast
GTEX.13O3Q.2226.SM.5KM4O	Breast
GTEX.13O61.1826.SM.5KM4I	Breast
GTEX.13QJ3.0826.SM.7DHKK	Breast
GTEX.13SLW.2526.SM.62LDQ	Breast
GTEX.13SLX.2326.SM.5ZZWE	Breast
GTEX.13VXU.2826.SM.664MA	Breast
GTEX.13W3W.1226.SM.5LU4H	Breast
GTEX.13W46.0826.SM.5LU3H	Breast
GTEX.144GL.2026.SM.5LU3O	Breast
GTEX.144GM.0926.SM.5O994	Breast
GTEX.145LT.0726.SM.5S2VM	Breast
GTEX.11OC5.0004.SM.5S2O6	Blood
GTEX.11P7K.0003.SM.5S2OU	Blood
GTEX.11TT1.0004.SM.5S2NT	Blood
GTEX.12BJ1.0003.SM.5SI6V	Blood
GTEX.12C56.0002.SM.5S2PC	Blood
GTEX.12WSN.0001.SM.664MG	Blood
GTEX.11O72.0008.SM.5Q5DN	Skin
GTEX.11OC5.0008.SM.5S2OH	Skin
GTEX.11OF3.0008.SM.5S2NH	Skin
GTEX.11ONC.0008.SM.5S2MG	Skin
GTEX.11P7K.0008.SM.5S2O5	Skin
GTEX.11P81.0008.SM.5S2OT	Skin
GTEX.11P82.0008.SM.5S2MS	Skin
GTEX.11PRG.0008.SM.5S2N5	Skin
GTEX.11TT1.0008.SM.5S2P8	Skin
GTEX.11TTK.0008.SM.5S2RU	Skin
GTEX.11TUW.0008.SM.5SI6S	Skin
GTEX.12BJ1.0008.SM.5TDBZ	Skin
GTEX.12C56.0008.SM.5TDC1	Skin
GTEX.12KS4.0008.SM.664MC	Skin
GTEX.12WSN.0008.SM.664MI	Skin
GTEX.12ZZW.0008.SM.5YY9L	Skin
GTEX.12ZZX.0008.SM.5YY9N	Skin
GTEX.12ZZY.0008.SM.5YY9Q	Skin
GTEX.1313W.0008.SM.5YYAP	Skin
GTEX.1314G.0008.SM.5YY9K	Skin
GTEX.131XF.0008.SM.664MH	Skin
GTEX.131XG.0008.SM.5YY9O	Skin
GTEX.131XH.0008.SM.5YYAC	Skin
GTEX.131XW.0008.SM.664MJ	Skin
GTEX.131YS.0008.SM.5YY9Z	Skin
GTEX.139T8.0008.SM.5ZZUD	Skin
GTEX.139TS.0008.SM.62LDG	Skin
GTEX.139TU.0008.SM.5ZZUK	Skin
GTEX.139YR.0008.SM.5ZZUM	Skin
GTEX.13CF2.0008.SM.62LDC	Skin
GTEX.13CZU.0008.SM.5ZZUI	Skin
GTEX.13CZV.0008.SM.5ZZUE	Skin
GTEX.13FH7.0008.SM.5ZZUJ	Skin
GTEX.111CU.1226.SM.5EGIN	Colon
GTEX.11ONC.1926.SM.5GU75	Colon
GTEX.11P7K.1826.SM.5HL5A	Colon
GTEX.11P81.1426.SM.5P9JN	Colon
GTEX.11PRG.2026.SM.5GU5F	Colon
GTEX.11TT1.0926.SM.5GU5M	Colon
GTEX.11TUW.2326.SM.5EQMO	Colon
GTEX.12BJ1.2026.SM.5FQUH	Colon
GTEX.12WSM.1426.SM.5GCPA	Colon
GTEX.12ZZW.2426.SM.5DUWE	Colon
GTEX.12ZZX.2726.SM.5N9FT	Colon
GTEX.131XE.1026.SM.5EGKE	Colon
GTEX.131XG.1526.SM.5GCNQ	Colon
GTEX.139T6.1426.SM.5P9J7	Colon
GTEX.139TS.2226.SM.5J2N1	Colon
GTEX.139UW.2326.SM.5KM1Y	Colon
GTEX.13CF2.1826.SM.5N9GK	Colon
GTEX.13CF3.1326.SM.5LZXZ	Colon
GTEX.13D11.0626.SM.5LZYY	Colon
GTEX.13FH7.1626.SM.5J2O9	Colon
GTEX.13FHO.2726.SM.5K7VG	Colon
GTEX.13FTW.2126.SM.5K7YG	Colon
GTEX.13G51.2126.SM.5IJD9	Colon
GTEX.13N2G.2226.SM.5IJCU	Colon
GTEX.13O1R.2426.SM.5KLZZ	Colon
GTEX.13O61.1526.SM.5KM3P	Colon
GTEX.13RTJ.1926.SM.5YYA2	Colon
GTEX.13SLW.2826.SM.5Q5ES	Colon
GTEX.13U4I.2626.SM.5SI9C	Colon
GTEX.13VXT.2026.SM.5L3EW	Colon
GTEX.13X6I.2726.SM.5Q5ET	Colon
GTEX.13X6J.2826.SM.7EPGA	Colon
GTEX.13X6K.2726.SM.5O9DG	Colon
GTEX.144GM.1126.SM.79OJK	Colon
GTEX.145LS.2926.SM.5O99G	Colon
GTEX.145LT.0826.SM.5S2QL	Colon
GTEX.145ME.1126.SM.5SIAT	Colon
GTEX.111CU.1426.SM.5GZYP	Colon
GTEX.11O72.2226.SM.5PNW2	Colon
GTEX.11ONC.2026.SM.5HL61	Colon
GTEX.11P7K.1526.SM.5EGI7	Colon
GTEX.11P81.1126.SM.5GU5G	Colon
GTEX.11P82.1026.SM.5BC5J	Colon
GTEX.11TT1.1026.SM.5PNW7	Colon
GTEX.11TTK.2426.SM.5PNYO	Colon
GTEX.11TUW.2026.SM.5EQL8	Colon
GTEX.12BJ1.2126.SM.5BC5O	Colon
GTEX.12C56.0626.SM.5EGGC	Colon
GTEX.131XE.0826.SM.5HL9W	Colon
GTEX.131XG.1826.SM.5LZV4	Colon
GTEX.139T6.1326.SM.5IFFO	Colon
GTEX.139TS.1926.SM.5IJFO	Colon
GTEX.139YR.2126.SM.5KM11	Colon
GTEX.13CF3.1426.SM.5K7YY	Colon
GTEX.13D11.0826.SM.5KLZJ	Colon
GTEX.13FH7.1526.SM.5J2N6	Colon
GTEX.13FHP.2426.SM.5KLZ5	Colon
GTEX.13FTW.1826.SM.5IJEN	Colon
GTEX.13O21.2426.SM.5MR4A	Colon
GTEX.13O3O.2526.SM.5L3DR	Colon
GTEX.13O3P.2326.SM.5KM55	Colon
GTEX.13O61.1626.SM.5KM3T	Colon
GTEX.13OVG.1426.SM.5K7VP	Colon
GTEX.13S86.1626.SM.5Q5C5	Colon
GTEX.13U4I.2426.SM.5LU34	Colon
GTEX.13VXT.2426.SM.5LU46	Colon
GTEX.13W3W.2126.SM.5K7UX	Colon
GTEX.13X6H.1926.SM.7EWD3	Colon
GTEX.144GL.2526.SM.5TDDL	Colon
GTEX.144GM.1226.SM.5LU52	Colon
GTEX.144GN.1126.SM.5LU33	Colon
GTEX.145LS.2726.SM.5Q5D8	Colon
GTEX.145LT.0926.SM.5LU9C	Colon
GTEX.145ME.0826.SM.5O9AF	Colon
GTEX.111CU.0826.SM.5EGIJ	Esophagus
GTEX.11O72.2026.SM.5N9G8	Esophagus
GTEX.11OF3.2326.SM.5GU73	Esophagus
GTEX.11P7K.1426.SM.5EGKY	Esophagus
GTEX.11P81.1026.SM.5GU54	Esophagus
GTEX.11P82.0426.SM.5HL5D	Esophagus
GTEX.11TT1.0626.SM.5GU4X	Esophagus
GTEX.12BJ1.1526.SM.5LUAQ	Esophagus
GTEX.12C56.0426.SM.5FQU1	Esophagus
GTEX.12WSN.1826.SM.5LZUT	Esophagus
GTEX.131XE.1526.SM.5KM1A	Esophagus
GTEX.131XF.1126.SM.5HL8J	Esophagus
GTEX.131XG.1126.SM.5DUWR	Esophagus
GTEX.139YR.1826.SM.5LZXA	Esophagus
GTEX.13CF3.1726.SM.5LU9E	Esophagus
GTEX.13D11.2026.SM.5IJBK	Esophagus
GTEX.13FH7.0626.SM.5KLZD	Esophagus
GTEX.13FLV.1326.SM.5L3EJ	Esophagus
GTEX.13FTW.1926.SM.5K7Y4	Esophagus
GTEX.13N1W.1926.SM.5IJCH	Esophagus
GTEX.13NYB.1326.SM.5K7Y1	Esophagus
GTEX.13O21.0726.SM.5L3EG	Esophagus
GTEX.13O3P.2726.SM.5KM2R	Esophagus
GTEX.13O61.1226.SM.5KM21	Esophagus
GTEX.13OVG.1026.SM.5KLZ3	Esophagus
GTEX.13QJ3.1926.SM.5QGQM	Esophagus
GTEX.13RTK.0426.SM.5RQHT	Esophagus
GTEX.13U4I.1326.SM.5KM25	Esophagus
GTEX.13VXT.1826.SM.5KM2F	Esophagus
GTEX.13VXU.1126.SM.5LU3U	Esophagus
GTEX.13W3W.1826.SM.5IJDE	Esophagus
GTEX.13X6H.1526.SM.5Q5E2	Esophagus
GTEX.13X6J.1726.SM.5TDCS	Esophagus
GTEX.13YAN.1826.SM.5LU3Q	Esophagus
GTEX.144FL.2626.SM.5TDCW	Esophagus
GTEX.144GM.1626.SM.5O9AG	Esophagus
GTEX.145LS.2026.SM.5Q5D7	Esophagus
GTEX.145LT.1326.SM.5O9AQ	Esophagus
GTEX.111CU.0726.SM.5GZYD	Esophagus
GTEX.11ONC.1526.SM.5GU6S	Esophagus
GTEX.11P7K.1326.SM.5BC5G	Esophagus
GTEX.11P81.0826.SM.5P9GR	Esophagus
GTEX.11P82.0526.SM.5986P	Esophagus
GTEX.11TT1.0526.SM.5P9JO	Esophagus
GTEX.11TUW.1326.SM.5EQKV	Esophagus
GTEX.12BJ1.1626.SM.5HL8Y	Esophagus
GTEX.12C56.1226.SM.5FQSU	Esophagus
GTEX.12KS4.0926.SM.5BC5S	Blood Vessel
GTEX.12ZZW.1726.SM.5DUVD	Esophagus
GTEX.12ZZX.1326.SM.5DUWI	Esophagus
GTEX.13113.5007.SM.793CD	Esophagus
GTEX.131XE.1426.SM.5HL7V	Esophagus
GTEX.131XF.0826.SM.5GICG	Esophagus
GTEX.131XG.1026.SM.5GCMX	Esophagus
GTEX.139TU.1226.SM.5J2NL	Esophagus
GTEX.139UW.1126.SM.5IJEJ	Esophagus
GTEX.139YR.1726.SM.5IFFK	Esophagus
GTEX.13CF3.1626.SM.5IFG9	Esophagus
GTEX.13D11.1926.SM.5IFGB	Esophagus
GTEX.13FH7.0526.SM.5IJF8	Esophagus
GTEX.13FHO.1726.SM.5IFGM	Esophagus
GTEX.13FHP.1526.SM.5IJGE	Esophagus
GTEX.13FLV.1126.SM.5J2NO	Esophagus
GTEX.13FTW.1626.SM.5KM4N	Esophagus
GTEX.13FTX.0526.SM.5IFGS	Esophagus
GTEX.13G51.0926.SM.5IFFU	Esophagus
GTEX.13NZB.1226.SM.5J2MW	Esophagus
GTEX.13O1R.1326.SM.5IJF5	Esophagus
GTEX.13O21.0626.SM.5IJDI	Esophagus
GTEX.13O3Q.0826.SM.5IFGF	Esophagus
GTEX.13O61.0926.SM.5IFFE	Esophagus
GTEX.13OVG.0626.SM.5IFEP	Esophagus
GTEX.13QJ3.1726.SM.5RQK9	Esophagus
GTEX.13RTK.0526.SM.5S2QF	Esophagus
GTEX.13S86.0826.SM.5SI6J	Esophagus
GTEX.13SLX.1726.SM.5Q5E5	Esophagus
GTEX.13U4I.1126.SM.5LU3S	Esophagus
GTEX.13W3W.1626.SM.5LU35	Esophagus
GTEX.13W46.1926.SM.5J2MF	Esophagus
GTEX.13X6H.1326.SM.5LU42	Esophagus
GTEX.13X6I.1026.SM.5LU4C	Esophagus
GTEX.13X6K.2126.SM.5O9D4	Esophagus
GTEX.13YAN.1926.SM.7EPH9	Esophagus
GTEX.144FL.2726.SM.5O98Z	Esophagus
GTEX.144GM.1426.SM.5LU31	Esophagus
GTEX.144GN.0626.SM.5O9B2	Esophagus
GTEX.144GO.2726.SM.5O9A2	Esophagus
GTEX.145LS.1826.SM.5LUAZ	Esophagus
GTEX.145LT.1126.SM.5LUA1	Esophagus
GTEX.145LU.0926.SM.79OJL	Esophagus
GTEX.145LV.1326.SM.5S2QI	Esophagus
GTEX.145ME.0526.SM.5QGQV	Esophagus
GTEX.111CU.0626.SM.5EGHL	Esophagus
GTEX.11O72.1926.SM.5PNW1	Esophagus
GTEX.11OF3.2226.SM.5986F	Esophagus
GTEX.11ONC.1426.SM.5N9F4	Esophagus
GTEX.11P7K.1226.SM.5HL4X	Esophagus
GTEX.11P81.0926.SM.59874	Esophagus
GTEX.11P82.0626.SM.5PNYK	Esophagus
GTEX.11TT1.0426.SM.5EGI9	Esophagus
