Sample	Tissue
GTEX.13N2G.1926.SM.5J1O3	Adipose Tissue
GTEX.13NYS.0726.SM.5J1OR	Adipose Tissue
GTEX.13NZ9.2026.SM.5KM1U	Adipose Tissue
GTEX.13NZB.0826.SM.5K7X5	Adipose Tissue
GTEX.13O21.3126.SM.5J1OI	Adipose Tissue
GTEX.13O3P.0926.SM.5IFFI	Adipose Tissue
GTEX.13O3Q.1126.SM.5K7YK	Adipose Tissue
GTEX.13O61.1926.SM.5KM1R	Adipose Tissue
GTEX.13OVG.1326.SM.5K7Y3	Adipose Tissue
GTEX.13OVH.1126.SM.5K7YP	Blood Vessel
GTEX.13RTK.0726.SM.5Q5EN	Adipose Tissue
GTEX.13S7M.0826.SM.5QGQX	Adipose Tissue
GTEX.13S86.0926.SM.5SI6I	Adipose Tissue
GTEX.13U4I.1726.SM.5J1MF	Adipose Tissue
GTEX.13VXT.0926.SM.5LU5K	Adipose Tissue
GTEX.13VXU.1026.SM.5KLZE	Adipose Tissue
GTEX.13W3W.1126.SM.5L3DO	Adipose Tissue
GTEX.13W46.1226.SM.5SIAS	Adipose Tissue
GTEX.13X6H.1726.SM.5Q5EH	Adipose Tissue
GTEX.13X6I.1526.SM.5SIAC	Adipose Tissue
GTEX.13X6J.1926.SM.5TDCU	Adipose Tissue
GTEX.13X6K.0726.SM.5LU2Z	Adipose Tissue
GTEX.13YAN.1126.SM.5TDC7	Adipose Tissue
GTEX.1445S.2426.SM.79ON2	Adipose Tissue
GTEX.144GM.0626.SM.79OKY	Adipose Tissue
GTEX.144GN.0726.SM.5O98O	Adipose Tissue
GTEX.145LT.1526.SM.5O98P	Adipose Tissue
GTEX.145LU.1226.SM.5LU9B	Adipose Tissue
GTEX.145LV.1026.SM.5O9AE	Adipose Tissue
GTEX.145ME.0726.SM.5O9A3	Adipose Tissue
GTEX.111CU.0126.SM.5GZWZ	Adrenal Gland
GTEX.11P7K.0126.SM.5986E	Adrenal Gland
GTEX.11TT1.0126.SM.5LUAA	Adrenal Gland
GTEX.12BJ1.0526.SM.5FQUD	Adrenal Gland
GTEX.12WSN.0926.SM.5GCN1	Adrenal Gland
GTEX.131XF.0126.SM.5DUVF	Adrenal Gland
GTEX.131XG.1326.SM.5DUX4	Adrenal Gland
GTEX.139YR.0126.SM.5IJEY	Adrenal Gland
GTEX.13CF3.0126.SM.5IFFM	Adrenal Gland
GTEX.13D11.0426.SM.5LZYA	Adrenal Gland
GTEX.13FH7.0226.SM.5IFGG	Adrenal Gland
GTEX.13FTW.0126.SM.5IJED	Adrenal Gland
GTEX.13N11.0826.SM.5IJFP	Adrenal Gland
GTEX.13O21.0126.SM.5IJE8	Adrenal Gland
GTEX.13O3O.1626.SM.5KM1O	Adrenal Gland
GTEX.13O61.0126.SM.5KM4P	Adrenal Gland
GTEX.13W3W.1326.SM.5LU4T	Adrenal Gland
GTEX.144GL.1826.SM.79OMB	Adrenal Gland
GTEX.145LT.0126.SM.5S2QJ	Adrenal Gland
GTEX.11ONC.0926.SM.5BC5E	Blood Vessel
GTEX.11P81.0326.SM.5HL6B	Blood Vessel
GTEX.11P82.0126.SM.5HL72	Blood Vessel
GTEX.11TT1.1226.SM.5Q5AV	Blood Vessel
GTEX.11TUW.0926.SM.5EQMW	Blood Vessel
GTEX.12C56.0226.SM.5N9FB	Blood Vessel
GTEX.12KS4.0626.SM.5PNY4	Blood Vessel
GTEX.12WSN.0326.SM.5GCP6	Blood Vessel
GTEX.12ZZX.1026.SM.5LZUW	Blood Vessel
GTEX.1313W.1026.SM.5EQ5I	Blood Vessel
GTEX.131XF.0626.SM.5GIDS	Blood Vessel
GTEX.131XW.2226.SM.5PNY1	Blood Vessel
GTEX.139TS.0226.SM.5K7W5	Blood Vessel
GTEX.139TU.1126.SM.5J1NY	Blood Vessel
GTEX.139UW.0426.SM.5K7V4	Blood Vessel
GTEX.139YR.0626.SM.5IJBT	Blood Vessel
GTEX.13CF3.0526.SM.5IJBV	Blood Vessel
GTEX.13D11.1426.SM.5K7Y9	Blood Vessel
GTEX.13FH7.0326.SM.5J1MR	Blood Vessel
GTEX.13FHO.1626.SM.5IJGB	Blood Vessel
GTEX.13FLV.1426.SM.5J1N4	Blood Vessel
GTEX.13FTX.0226.SM.5K7TX	Blood Vessel
GTEX.13FTZ.0126.SM.5K7V3	Blood Vessel
GTEX.13N2G.0526.SM.5MR5L	Blood Vessel
GTEX.13NYB.0426.SM.5IJDD	Blood Vessel
GTEX.13NZ9.1226.SM.5MR3J	Blood Vessel
GTEX.13O1R.1026.SM.5KM2L	Blood Vessel
GTEX.13O21.0426.SM.5K7VR	Blood Vessel
GTEX.13O3O.1126.SM.5KM4Q	Blood Vessel
GTEX.13O3P.1126.SM.5L3FG	Blood Vessel
GTEX.13O61.0326.SM.5KM2O	Blood Vessel
GTEX.13OVG.0826.SM.5L3D8	Blood Vessel
GTEX.13RTK.0126.SM.5RQHQ	Blood Vessel
GTEX.13U4I.1026.SM.5LU3G	Blood Vessel
GTEX.13VXT.0826.SM.5SIAP	Blood Vessel
GTEX.13W3W.0226.SM.731ET	Blood Vessel
GTEX.13W46.1826.SM.5K7VA	Blood Vessel
GTEX.13X6I.0926.SM.5LUAB	Blood Vessel
GTEX.13X6K.1926.SM.5LU4O	Blood Vessel
GTEX.13YAN.1526.SM.5LU3E	Blood Vessel
GTEX.144GN.0326.SM.5O9AD	Blood Vessel
GTEX.1117F.0626.SM.5N9CS	Blood Vessel
GTEX.11ONC.1126.SM.5GU6G	Blood Vessel
GTEX.11TT1.1526.SM.5EQKU	Blood Vessel
GTEX.12ZZX.0626.SM.5EQ46	Blood Vessel
GTEX.131XF.0526.SM.5HL87	Blood Vessel
GTEX.131XG.0826.SM.5LZVS	Blood Vessel
GTEX.139YR.0726.SM.62LFN	Blood Vessel
GTEX.13CF3.0626.SM.5J1NO	Blood Vessel
GTEX.13FH7.0426.SM.5KM4M	Blood Vessel
GTEX.13FHP.1126.SM.5IJDO	Blood Vessel
GTEX.13FTW.0926.SM.5J2NJ	Blood Vessel
GTEX.13FXS.1126.SM.5IJBB	Blood Vessel
GTEX.13N11.0626.SM.5J1OL	Blood Vessel
GTEX.13NZA.1126.SM.5MR4K	Blood Vessel
GTEX.13O21.2926.SM.5J1OU	Blood Vessel
GTEX.13O61.0626.SM.5L3D1	Blood Vessel
GTEX.13OVG.0726.SM.5IJBY	Blood Vessel
GTEX.13QJC.0626.SM.5S2O9	Blood Vessel
GTEX.13RTJ.0626.SM.5S2NB	Blood Vessel
GTEX.13S7M.2226.SM.5S2WB	Blood Vessel
GTEX.13S86.0526.SM.5QGPZ	Blood Vessel
GTEX.13U4I.0926.SM.5LU5A	Blood Vessel
GTEX.13VXU.1926.SM.5LU5J	Blood Vessel
GTEX.13W3W.0626.SM.5LU45	Blood Vessel
GTEX.13X6J.1326.SM.5QGOV	Blood Vessel
GTEX.1445S.1126.SM.5QGOW	Blood Vessel
GTEX.1117F.0526.SM.5EGHJ	Blood Vessel
GTEX.111FC.0426.SM.5N9CV	Thyroid
GTEX.11O72.0426.SM.5BC5B	Blood Vessel
GTEX.11OC5.0426.SM.5Q5AR	Blood Vessel
GTEX.11ONC.2726.SM.5N9DZ	Blood Vessel
GTEX.11P7K.2326.SM.5EGKZ	Blood Vessel
GTEX.11P81.2726.SM.59876	Blood Vessel
GTEX.11TT1.2726.SM.5LU8L	Blood Vessel
GTEX.11TUW.2926.SM.5BC59	Blood Vessel
GTEX.12BJ1.2726.SM.5HL9M	Blood Vessel
GTEX.12C56.2026.SM.5FQSI	Blood Vessel
GTEX.12WSN.2726.SM.5LZUK	Blood Vessel
GTEX.12ZZW.0426.SM.5GCO9	Blood Vessel
GTEX.12ZZX.0526.SM.5DUW6	Blood Vessel
GTEX.12ZZY.0526.SM.5EQ5H	Colon
GTEX.13113.2126.SM.5EQ4U	Blood Vessel
GTEX.1314G.1926.SM.5BC6F	Blood Vessel
GTEX.131XE.2626.SM.5PNYY	Blood Vessel
GTEX.131XF.2526.SM.5EQ68	Blood Vessel
GTEX.131XG.2226.SM.5DUXS	Blood Vessel
GTEX.131XH.2426.SM.5PNZ6	Blood Vessel
GTEX.131XW.0226.SM.5IJCA	Blood Vessel
GTEX.131YS.0426.SM.5EQ4J	Blood Vessel
GTEX.139T6.1826.SM.5KM2E	Blood Vessel
GTEX.139T8.0426.SM.5K7VC	Muscle
GTEX.139TT.0526.SM.5J1NN	Blood Vessel
GTEX.139UW.2526.SM.62LFO	Blood Vessel
GTEX.139YR.2726.SM.5K7VV	Blood Vessel
GTEX.13CF3.2226.SM.5J2MX	Blood Vessel
GTEX.13D11.2726.SM.5K7V7	Blood Vessel
GTEX.13FH7.2326.SM.5KM1E	Blood Vessel
GTEX.13FHP.0426.SM.5J1O5	Blood Vessel
GTEX.13FTW.2226.SM.5J1OH	Blood Vessel
GTEX.13FTX.2226.SM.5J1OP	Blood Vessel
GTEX.13FTY.0426.SM.5IJC2	Blood Vessel
GTEX.13G51.2926.SM.5IJDL	Blood Vessel
GTEX.13JUV.2426.SM.5J1NS	Blood Vessel
GTEX.13JVG.0426.SM.5MR59	Blood Vessel
GTEX.13N11.2926.SM.5K7VD	Blood Vessel
GTEX.13N1W.0326.SM.5IJDJ	Blood Vessel
GTEX.13NYB.2926.SM.5K7VH	Blood Vessel
GTEX.13NYC.0826.SM.5N9FP	Blood Vessel
GTEX.13NYS.0526.SM.5J1OF	Blood Vessel
GTEX.13NZ8.1626.SM.5IJBC	Blood Vessel
GTEX.13NZ9.0826.SM.5J1NI	Blood Vessel
GTEX.13NZB.2226.SM.5MR5B	Blood Vessel
GTEX.13O21.2526.SM.5J1OZ	Blood Vessel
GTEX.13O3O.0426.SM.5KM2Y	Blood Vessel
GTEX.13O3P.0526.SM.5K7UT	Blood Vessel
GTEX.13O3Q.2526.SM.5IJC4	Blood Vessel
GTEX.13O61.2526.SM.5J1O8	Blood Vessel
GTEX.13OVG.2326.SM.5J1OV	Blood Vessel
GTEX.13OVH.0426.SM.5K7UC	Blood Vessel
GTEX.13QJC.2526.SM.7DHKJ	Blood Vessel
